VNTR,Start,Stop,Value
MLVA_MecA,145,150,1
MLVA_MecA,163,168,2
VNTR09_01,220,234,0
VNTR09_01,261,267,3
VNTR09_01,278,286,5
VNTR09_01,287,295,6
VNTR09_01,296,304,7
VNTR09_01,305,313,8
VNTR09_01,315,323,9
VNTR09_01,324,332,10
VNTR09_01,333,341,11
VNTR09_01,342,350,12
VNTR09_01,352,360,13
VNTR09_01,361,369,14
VNTR09_01,370,378,15
VNTR09_01,379,387,16
VNTR09_01,388,396,17
VNTR09_01,397,405,18
VNTR09_01,406,414,19
VNTR09_01,416,424,20
VNTR09_01,425,433,21
VNTR09_01,434,441,22
VNTR09_01,442,450,23
VNTR09_01,452,460,24
VNTR09_01,462,469,25
VNTR09_01,471.3,479.1,26
VNTR09_01,481,489,27
VNTR09_01,523,532,32
VNTR61_01,215,275,0
VNTR61_01,276,336,1
VNTR61_01,337,394,2
VNTR61_01,395,455,3
VNTR61_01,456,518,4
VNTR61_01,519,577,5
VNTR61_01,578,633,6
VNTR61_01,634,691,7
VNTR61_01,692,755,8
VNTR61_01,756.7,817,9
VNTR61_02,188,236,0
VNTR61_02,237,297,1
VNTR61_02,298,358,2
VNTR61_02,359,419,3
VNTR61_02,420,480,4
VNTR61_02,481,541,5
VNTR61_02,542,602,6
VNTR67_01,126,166,0
VNTR67_01,192,232,1
VNTR67_01,258,298,2
VNTR67_01,325,365,3
VNTR67_01,390,430,4
VNTR67_01,458,498,5
VNTR67_01,523,563,6
VNTR67_01,590,630,7
VNTR67_01,657,697,8
VNTR67_01,723,763,9
VNTR67_01,790,830,10
VNTR67_01,855,895,11
MLVA_PVL,144,149,1
VNTR21_01,120.3,130.1,1
VNTR21_01,141.6,151.7,2
VNTR21_01,162.5,172.6,3
VNTR21_01,184.8,194.8,4
VNTR21_01,202.9,213.3,5
VNTR24_01,195,209,2
VNTR24_01,223.8,233.5,3
VNTR24_01,245.8,256.1,4
VNTR24_01,272,281.8,5
VNTR24_01,295,305.1,6
VNTR24_01,318.5,328.5,7
VNTR24_01,342.3,352.5,8
VNTR24_01,367.3,377.2,9
VNTR24_01,391.2,401.3,10
VNTR24_01,415.9,426.1,11
VNTR24_01,437.3,447.4,12
VNTR24_01,465.4,475.4,13
VNTR24_01,485.9,496,14
VNTR24_01,517.4,527.3,15
VNTR24_01,537,547,16
VNTR24_01,558.3,568.3,17
VNTR24_01,586.4,596.4,18
VNTR24_01,609.4,619.5,19
VNTR24_01,629.6,639.5,20
VNTR24_01,661.1,671,21
VNTR24_01,685.1,695,22
VNTR63_01,228,290,0
VNTR63_01,291,353,1
VNTR63_01,354,416,2
VNTR63_01,417,480,3
VNTR63_01,481,533,4
VNTR63_01,534,605,5
VNTR63_01,606,666,6
VNTR63_01,667,729,7
VNTR63_01,730,790,8
VNTR63_01,791,850,9
VNTR63_01,851,916,10
VNTR63_01,917,972,11
VNTR63_01,973,1032,12
VNTR81_01,140,200,1
VNTR81_01,220,280,2
VNTR81_01,300,360,3
VNTR81_01,380,440,4
VNTR81_01,460,520,5
VNTR81_01,540,590,6
VNTR81_01,620,680,7
VNTR81_01,700,760,8
VNTR81_01,775,835,9
VNTR81_01,930,990,11